,,,,,,,
RECURSOS DIC DE 2024,RECURSOS DIC DE 2024,,,,,,
,,,,,,,
CAJA ,24386159,,,,,,
BANCO BBVA,10438236,,,,,,
,,,,,,,
TOTAL RECURSOS ,,34824395,,,,,
,,34824395,,,,,
CUENTAS POR PAGAR A ,,4312900,,,,,
CORTO PLAZO ,,4312900,,,,,
CUENTAS POR PAGAR  ,4312900,,,,,,
,,,,,,,
DISPONIBLE RECURSOS ,,30511495,,,,,
,,,,,,,
RECURSOS PARA PUERTA DE ORO ,,30911830,LO PENDIENTE PARA PUERTA DE ORO,,20700000,cdt,10211830
RECURSOS PARA PUERTA DE ORO ,,30911830,,,,,
TOTAL DISPONIBLE EFECTIVO 30 DIC/24 ANTES DE CUENTAS POR COBRAR,,-400335,,,,,
,,,,,,,
DISPONIBLE RECURSOS EFECTIVO,,-400335,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
DISPONIBLE PARA OPERACIÓN 2024,,-400335,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CARTERA - CUENTAS POR COBRAR,,8077545,,CXC CLIENTE FISCAL Y NO FISCAL  ,,,
CUENTAS POR COBRAR PENDIENTE DE GASTOS DE ESCRITURACION,,2378609,,PRESTAMO A  LILIANA ,,,
,,,,,,,
TOTAL RECURSOS ,,10456154,10055819,,,,
