,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020,UTILIDAD 2019 ,UTILIDAD 2018 ,UTILIDAD  2017
,ENERO ,2319055,0,6308768,4088450,9772741,5232922,20519674,4068398,5070435,4878660,3100823,5295548,4656136,7998115,5489862,3111549,9947041,10152266,8340075.44,9031235,11183760,8192569,7055307,10452832,-2557551,-5273606,-1150802.4400000004,352800,3245117,5038468,18954229,-3272885
,FEBRERO ,2198885,4332104,3904163,3444630,8662267,6735984,347610,3781685,6521782,4693673,7094524,6881543,7804429,4974355,7374328,8157506,13136716,13410419,9969598,12420337,13337610,8084721,8975623,8843670,-4416049,-4384642,569556,-2094164,3129086,3625618,-1253685,3095521
,MARZO,5345924,11179580,6104727,4294490,11213082,4072345,245528,3264345,6934538,12062967,11156171,7901560,5900305,7130437,5439456,5780617,11222287.82,16907266,11403558,13591375,10865138,8025783,9788704,8621927,1058174.1799999997,6335281,4047103,-1395325,6248249,3176999,-4103720,423035
,ABRIL ,5705085,6476561,4771392,3094715,109000,8902568,311788,5714524,11902051,13101458,11179990,10475785,121014,6001004,7142915,5636163,13880419,12557124,11689725,17060981,8424882,11161681,9211395,6162384,3726717,7020895,2584980,-3490481,-8194868,3741891,-1756692,5188303
,MAYO ,6312190,2948466,3195437,3036250,,4831245,2070588,1563099,5781805,11011958,9141636,9475619,1804105,7419178,5721041,13796936,12971414,15171959,11286631,11744516.633333333,10909925,10164486,8014528,10155182,-877419,-1211535,891255,767352.3666666672,-9105820,2085937,-222899,5204853
,JUNIO ,5308821,5460313,3587643,3220640,15088775,2541098,4186225,2504537,3102603,9771991,6890613,14072478,5883300,6384585,4021740,6565667,10918657,10729339,12304971,12797380,12990071,8433671,7385244,14240736,-2507233,4502965,-2193718,4495738,7982004,492012,822721,-5170532
,JULIO ,1368000,5032261,5002298,2982171,5107405,2060928,3502320,14376812,4934884,5870486,8564817,7847354,9069381,4374077,1959742,6138041,11152404,10792468,12624706,13357892,11530572,8752682,7676064,10531315,-4849520,110279,-1077718,-2527014,2646214,-2317677,-2214002,9983538
,AGOSTO ,1818800,7904377,6292782,2259634,4348355,722060,13456626,9843168,13354765,7730780,12002561,10482068,6862717,8088583,4820282,5449400,11534028,10381456,0,12441445,11013798,10250005,9472439,10083753,3639537,5253701,14262195,299710,197274,-1439362,8804469,5208815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,30376760,43333662,39167210,26420980,54301625,35099150,44640359,45116568,57602863,69121973,69131135,72431955,42101387,52370334,41969366,54635879,94762966.82,100102297,77619264.44,102445161.63333333,90255756,73065598,67579304,79091799,-6783343.82,12353338,17932850.56,-3591383.633333333,6147256,14403886,19030421,20660648
