Fecha documento,Documento #,Cuenta - Cód.,Cuenta - Nombre de la cuenta NIIF,Tercero - Cód.,Tercero - Nombre-apellido,CC imputado - Cód.,Débito,Crédito,Saldo
2024-03-30,CI-000137,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,7142,0,7142
2024-03-30,CI-000137,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,56240,0,56240
2024-04-30,CI-000141,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,7142,0,7142
2024-04-30,CI-000141,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,106765,0,106765
2024-04-30,CI-000141,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,2800,0,2800
2024-04-30,CI-000141,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,4173,0,4173
2024-05-31,CI-000143,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,49831,0,49831
2024-05-31,CI-000143,13551504,Ret. por servicios en general,900443315,GRUBINM SAS,,51716,0,51716
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,52991,0,52991
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,14054,0,14054
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900502897,INDUSTRIAS CTS SAS,,20738,0,20738
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900443315,GRUBINM SAS,,158536,0,158536
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900443315,GRUBINM SAS,,1200,0,1200
2024-06-30,CI-000145,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,51282,0,51282
2024-07-31,CI-000149,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,51532,0,51532
2024-08-31,CI-000150,13551504,Ret. por servicios en general,900443315,GRUBINM SAS,,44466,0,44466
2024-09-30,CI-000152,13551504,Ret. por servicios en general,900443315,GRUBINM SAS,,16715,0,16715
2024-09-30,CI-000152,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,46501,0,46501
2024-09-30,CI-000152,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,23668,0,23668
2024-09-30,CI-000152,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,3401,0,3401
2024-10-31,CI-000154,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,25510,0,25510
2024-10-31,CI-000154,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,42232,0,42232
2024-10-31,CI-000154,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,26208,0,26208
2024-10-31,CI-000154,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,1553,0,1553
2024-10-31,CI-000154,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,1587,0,1587
2024-10-31,CI-000154,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,1638,0,1638
2024-11-30,CI-000155,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,54516,0,54516
2024-11-30,CI-000155,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,2450,0,2450
2024-12-31,CI-000157,13551504,Ret. por servicios en general,800248806,PROCAR INVERSIONES,,6440,0,6440
2024-12-31,CI-000157,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,21600,0,21600
2024-12-31,CI-000157,13551507,Ret. por ventas,901765638,INVERSIONES G Y C23 S.A.S.,,67824,0,67824
,,,,,,,1022451,,
