,,,,
RECURSOS AGOSTO DE 2024,RECURSOS AGOSTO DE 2024,,,
,,,,
CAJA ,11847444,,,
BANCO BBVA,29722581,,,
,,,,
TOTAL RECURSOS ,,41570025,,
,,41570025,,
CUENTAS POR PAGAR A ,,8449763,,
CORTO PLAZO ,,8449763,,
CUENTAS POR PAGAR  ,8449763,,,
,,,,
DISPONIBLE RECURSOS ,,33120262,,
,,,,
RECURSOS PARA PUERTA DE ORO ,,35490952,LO PENDIENTE PARA PUERTA DE ORO,
RECURSOS PARA PUERTA DE ORO ,,35490952,,
TOTAL DISPONIBLE EFECTIVO 30 AGOSTO/24 ANTES DE CUENTAS POR COBRAR,,-2370690,,
,,,,
DISPONIBLE RECURSOS EFECTIVO,,-2370690,,
,,,,
,,,,
,,,,
DISPONIBLE PARA OPERACIÓN 2024,,-2370690,,
,,,,
,,,,
,,,,
CARTERA - CUENTAS POR COBRAR,,6830226,,CXC CLIENTE FISCAL Y NO FISCAL  
CUENTAS POR COBRAR PENDIENTE DE GASTOS DE ESCRITURACION,,2378609,,PRESTAMO A  LILIANA 
,,,,
TOTAL RECURSOS ,,9208835,6838145,
