POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS
CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576
MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025
MATERIAL,SALDO,11634,11662,12886,12887,11670,11676,SALDO 
MATERIAL,2025-06-30,2025-07-11,2025-07-23,2025-07-25,2025-07-25,2025-07-25,2025-07-30,2025-07-31
TABLERO DE MADERA 70*1.40,6,-3,-3,,,,,
"FORMALETA DE 30*1,20",5,-4,,,,,-1,
RODACHINES DE ANDAMIO,,,,4,,-4,,
"BANDAS DE MADERA 40*1,40",,,,,10,,,10
Hora,,04:00,04:30,09:30,01:45,04:41,10:30,
TRANSPORTE,,SOL-AXZ,****,JONDER,504AAZ,SSY-356,****,
,,,,,,,,
,,,,,,,,
JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,,
COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,COMERCIALIZADORA POLIMYZ JULIO 1 AL 31,,
TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR TOTAL,PERIODO,,
TABLEROS DE MADERA 70 X 140,11,6,200,1200,13200,JULIO 1 AL 11,,
TABLEROS DE MADERA 70 X 140,12,3,200,600,7200,JULIO 12 AL 23,,
FORMALETA 30 X 120,11,5,260,1300,14300,JULIO 1 AL 11,,
FORMALETA 30 X 120,18,1,260,260,4680,JULIO 12 AL 29,,
BANDAS DE MADERA 40 X 140,6,10,180,1800,10800,JULIO 26AL 31,,
,, GRANTOTAL, GRANTOTAL,50180,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,,,
CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,CRA 19#16-46 TEL:3174409576,,,
MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,MOVIMIENTO: MAYO 21 A JUNIO 30/ 2025,,,
MATERIAL,12743,12760,11588,11603,SALDO ,,,
MATERIAL,2025-05-21,2025-05-30,2025-06-19,2025-06-26,2025-06-30,,,
TABLERO DE MADERA 70*1.40,12,,,-6,6,,,
"FORMALETA DE 30*1,20",,12,-6,-1,5,,,
Hora,07:00,07:00,03:30,04:45,,,,
TRANSPORTE,5004AAZ,504-AAZ,504-AAZ,504-AAZ,,,,
,,,,,,,,
,,,,,,,,
JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,JIMMY ALFREDO JAIMES CARRILLO,,
COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,COMERCIALIZADORA POLIMIS MAYO 21 A JUNIO 30,,
TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,TEL:3142352448,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR TOTAL,PERIODO,,
TABLEROS DE MADERA 70 X 140,37,12,200,2400,88800,MAYO 21 A JUNIO 26,,
TABLEROS DE MADERA 70 X 140,4,6,200,1200,4800,JUNIO 27 AL 30,,
FORMALETA 30 X 120,21,12,260,3120,65520,MAYO 30 A JUNIO 19,,
FORMALETA 30 X 120,7,6,260,1560,10920,JUNIO 20 AL 26,,
FORMALETA 30 X 120,4,5,260,1300,5200,JUNIO 27 AL 30,,
,, GRANTOTAL, GRANTOTAL,175240,,,,
,,,,,,,,
,,,,225420,,,,
