WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,,,,,,
HACIENDA SAN JUAN,HACIENDA SAN JUAN,HACIENDA SAN JUAN,HACIENDA SAN JUAN,HACIENDA SAN JUAN,HACIENDA SAN JUAN,,,,,,
MOVIMIENTO: MARZO28  AJULIO9/ 2025,MOVIMIENTO: MARZO28  AJULIO9/ 2025,MOVIMIENTO: MARZO28  AJULIO9/ 2025,MOVIMIENTO: MARZO28  AJULIO9/ 2025,MOVIMIENTO: MARZO28  AJULIO9/ 2025,MOVIMIENTO: MARZO28  AJULIO9/ 2025,,,,,,
MATERIAL,12633,11591,12840,11643,SALDO ,,,,,,
MATERIAL,2025-03-28,2025-07-10,2025-07-10,2025-07-15,2025-07-16,,,,,,
FORMALETA DE 20*1.20,,,,,,,,,,,
"ANGULOS DE 2,40",,,,,,,,,,,
CHAPETAS,,,,,,,,,,,
PARALES DE 3 MTROS,,,,,,,,,,,
MARCOS DE ANDAMIOS VERDES,2,-2,,,,,,,,,
CRUCETAS DE 2.40,2,-2,4,-4,,,,,,,
TABLON CORTO,1,-1,,,,,,,,,
TABLON DE 3 MTROS,1,-1,2,-2,,,,,,,
PARALES DE 3 MTROS,-2,,,,,,,,,,
"MARCOS DE ANDAMIOS 0,90*2MTROS",,,4,-4,,,,,,,
Hora,11:00,11:00,11:15,04:52,,,,,,,
TRANSPORTE,DFP 249,DFP 249,DFP 249,DFP 249,,,,,,,
,,,,,,,,,,,
,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,
WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,,,,,,
HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,,,,,,
MATERIAL,DETALLES,,,COSTOS,,,,,,,
,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO PERIODO,,,,,,
SECCIONDE ANDAMIOS 150,104,1,1500,1500,156000,marzo 28  a9 JULIO2025,,,,,
TABLONES 1 corto,104,2,750,1500,156000,marzo 28  a9 JULIO2025,,,,,
PARALES DE 3 MTROS,14,2,150,300,4200,MARZO 15 al 28,,,,,
MARZO 15 A JULIO 10,,VALOR DIAS,,316200,,,,,,,
deposito $ 400.000,,,,,,,,,,,
,,,,,,,,,,,10
,,,,,,,,,,,
WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,WILSON PAEZ TEL: 3186463325,,,,,,
HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,HACIENDA SAN JUAN ,,,,,,
MATERIAL,DETALLES,,,COSTOS,,,,,,,
,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO PERIODO,,,,,,
SECCIONDE ANDAMIOS 150,6,2,2000,4000,24000,,,,,,
TABLONES ,6,2,750,1500,9000,,,,,,
JULIO 10 AL 15,JULIO 10 AL 15,VALOR DIARIO,VALOR DIARIO,3000,,,,,,,
JULIO 10 AL 15,JULIO 10 AL 15,VALOR DIAS,VALOR DIAS,33000,,,,,,,
DEPOSITO,,,,400000,,,,,,,
TOTAL ADEUDADOI,,,,349200,,,,,,,
SALDO A FAVOR,,,,50800,,,,,,,
