MAESTRO RIGO,MAESTRO RIGO,MAESTRO RIGO,MAESTRO RIGO,MAESTRO RIGO,MAESTRO RIGO,MAESTRO RIGO,
COLORADOS,COLORADOS,COLORADOS,COLORADOS,COLORADOS,COLORADOS,COLORADOS,
MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,MOVIMIENTO: ABRIL/MAYO 2026,
MATERIAL,13588,13592,13625,13318,13319,SALDO,
,2026-04-20,2026-04-21,2026-05-05,2026-05-08,2026-05-09,2026-03-31,
"FORMALETA DE 60*1,20",20,75,,-66,-29,,26
"FORMALTETA DE 45*1,20",,5,,,-5,,20
CERCHAS DE 3 MTROS,28,,,-15,-13,,29
PARALES DE 3 MTROS,65,,,-25,-40,,13.5
CHAPETAS ,,600,,,-600,,0.1
CAJAS METALICAS,,3,,,-3,,1
"FORMALETA DE 40*1,20",,,16,,-16,,18.5
"FORMALETA DE 20*1,20",,,16,,-16,,9.5
"ANGULOS DE 2,40",,,16,,-16,,6.5
HORA,02:20,08:10,02:30,07:30,08:45,,
Transporte,170000,170000,60000,60000,,460000,
