CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,
PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,
MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,
MATERIAL,13746,13750,13803,13816,13831,13502,13503,13504,SALDO,
,2026-06-30,2026-06-30,2026-07-01,2026-07-03,2026-07-07,2026-07-17,2026-07-18,2026-07-18,2026-06-30,PESO 
"FORMALETA DE 60*1,20",40,10,65,,3,-84,,-34,,26
"FORMALETA DE 15*1,20",,23,,,,,,-23,,7
"FORMALETA DE 12*1,20",,11,,,,,,-11,,6
"FORMALETA DE 50*1,20",,,,7,,,,-7,,21
"FORMALETA DE 40*1,20",,,,1,,,,-1,,18.5
"FORMALETA DE 30*1,20",,,,6,3,,,-9,,13.5
"FORMALETA DE 25*1,20",,,,2,,,,-2,,11
CHAPETAS ,,200,200,,30,,-430,,,0.2
CAJA METALICA,,1,1,,,,-2,,,0.5
CERCHAS DE 3 MTROS ,14,10,,,,,-24,,,29
CERCHAS DE 2 MTROS ,,12,,,,,-3,-9,,15
PARALES DE 4 MTROS ,30,55,,,,,-85,,,18.5
PARAL DE 6 MTRS,,,,,1,,-1,,,25
ALINEADORES DE 6 MTROS ,,,6,,,,,-6,,27
TENSORES ,,,34,,,,,-34,,0.5
HORA,03:40,03:00,07:50,01:50,01:40,03:30,07:10,09:10,,
Transporte,CTZ,CTZ,,35000,30000,ctz,CTZ,ctz,65000,
