FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,,,,,,
RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,,,,,,
MOVIMIENTO: JUNIO/ JULIO2026,MOVIMIENTO: JUNIO/ JULIO2026,MOVIMIENTO: JUNIO/ JULIO2026,MOVIMIENTO: JUNIO/ JULIO2026,MOVIMIENTO: JUNIO/ JULIO2026,MOVIMIENTO: JUNIO/ JULIO2026,,,,,,
MATERIAL,13726,13866,,,SALDO,,,,,,
,2026-06-19,2026-07-21,,,2026-03-31,,,,,,
MARCOS DE ANDAMIOS  AMARILLOS ,4,,,,4,,,,,,
CRUCETAS DE 2 MTROS ,4,,,,4,,,,,,
RUEDAS DE ANDAMIOS ,4,,,,4,,,,,,
TABLONES CORTOS ,2,1,,,3,,,,,,
PARALES DE 4 MTROS ,,2,,,2,,,,,,
HORA,10:50,11:05,,,,,,,,,
Transporte,ZORRA ,A PIE,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
