ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION
BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO,BARRIO DIVINO NIÑO
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
"TABLERO 70 X 1,40",15,253,180,45540,683100,25,6325
CERCHA 3 MTS,15,60,120,7200,108000,29,1740
CERCHAS 1 MTS,15,12,120,1440,21600,12,144
PARALES 4MTS,15,144,180,25920,388800,18.5,2664
SECCION DE ANDAMIOS,15,2,1500,3000,45000,40,80
TABLONES 3 MTS,15,4,500,2000,30000,19,76
15 DIAS,15 DIAS,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,85100,PESO TOTAL,PESO TOTAL,11029
15 DIAS,15 DIAS,TOTAL DIAS,TOTAL DIAS,1276500,,,
15 DIAS,15 DIAS,TRANSPORTE,TRANSPORTE,,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA
15 DIAS,15 DIAS,GRAN TOTAL,GRAN TOTAL,1276500,,,
REQUIISITOS,,,,,,,
FORMATO DE CLIENTES,,,,,,,
FOTOCOPIA  CEDULA,,,,,,,
RECIBO IMPUEST PREDIAL INMUEBLE AÑO 2023,,,,,,,
DEPOSITO,2000000,,,,,,
,,,,,,,
ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497,ALBEIRO LOPEZ:3186318497
5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300,5 COLUMNAS 30 X 30 X 300
BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS,BARRIO MINUT0 DE DIOS
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS DE30X 120,5,60,270,16200,81000,13.5,810
"PARALES3,5 MTS",5,20,130,2600,13000,15.5,310
CHAPETAS REDONDAS,5,625,20,12500,62500,0.01,6.25
ANGULOS 60,5,40,45,1800,9000,1,40
"ANGULOS 1,20",5,40,80,3200,16000,3,120
,,VALOR DIARIO,VALOR DIARIO,36300,PESO TOTAL,PESO TOTAL,1286.25
,,VALOR TOTAL,VALOR TOTAL,181500,,,
,,TRANSPORTE,TRANSPORTE,60000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
,,TOTAL,TOTAL,241500,,,
