,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
EMA SANCHEZ,EMA SANCHEZ,EMA SANCHEZ,EMA SANCHEZ,EMA SANCHEZ,EMA SANCHEZ
MATERIAL,DIAS,VALOPR UNITARIO,CANTIDAD,,
POLEAS 30 MTS,10,3000,4,12000,120000
ANGULO DE 6 MTS,10,450,2,900,9000
ALINEADOR DE 3 MTS,10,400,2,800,8000
"TABLERO 70 X 1,40 MTS",10,160,6,960,9600
CERCHAS 3 MTS,10,120,4,480,4800
PASAMANOS 6 MTS,10,400,1,400,4000
PASAMANOS 3 MTS,10,300,1,300,3000
VALOR UNITARIO,VALOR UNITARIO,VALOR UNITARIO,VALOR UNITARIO,16000,
VALOR ALQUILER 10 DIAS,VALOR ALQUILER 10 DIAS,VALOR ALQUILER 10 DIAS,VALOR ALQUILER 10 DIAS,,160000
VALOR LLEVADA Y TRAIDA,VALOR LLEVADA Y TRAIDA,VALOR LLEVADA Y TRAIDA,VALOR LLEVADA Y TRAIDA,,60000
TOTAL ,TOTAL ,TOTAL ,TOTAL ,,220000
