COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR,COTIZACION POLEAS MIRADOR
ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794,ROSA EMMA SANCHEZ : 31668206794
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO UNITARIO,PESO TOTAL
POLEAS CON GUAYA 30 MTS,5,2,3500,7000,35000,50,100
ANGULOS 6 MTS,5,2,450,900,4500,50,100
PASAMANOS 6 MTS,5,1,450,450,2250,8,8
"TABLERO 70 X 1,40",5,4,200,800,4000,16,64
CERCHA 3 MTS,5,2,130,260,1300,29,58
5 DIAS,5 DIAS,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,9410,PESO TOTAL,330,330
5 DIAS,5 DIAS,SUB TOTAL,SUB TOTAL,47050,,,
5 DIAS,5 DIAS,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,100000,,,
5 DIAS,5 DIAS,GRAN TOTAL,GRAN TOTAL,147050,,,
DEPOSITO ,,,,300000,,,
