PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA
MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353
CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS DE30X 120,5,16,270,4320,21600,13.5,216
FORMALETAS DE30X 60,5,8,200,1600,8000,7,56
ANGULOS 120,5,16,120,1920,9600,3,48
ANGULOS 60,5,8,120,960,4800,1,8
"PARALES3,5 MTS",5,14,120,1680,8400,15.5,217
CHAPETAS REDONDAS,5,240,18,4320,21600,0.01,2.4
CORBATAS MURO e=30cm,5,27,45,1215,6075,0,
TABLONES DE 250,5,2,500,1000,5000,19,38
,,VALOR DIARIO,VALOR DIARIO,17015,PESO TOTAL,PESO TOTAL,547.4
,,VALOR TOTAL,VALOR TOTAL,85075,,,
,,TRANSPORTE,TRANSPORTE,30000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
,,TOTAL,TOTAL,115075,,,
,,,,,,,
MATERIAL EN VENTA DICIEMBRE /2022,MATERIAL EN VENTA DICIEMBRE /2022,MATERIAL EN VENTA DICIEMBRE /2022,MATERIAL EN VENTA DICIEMBRE /2022,MATERIAL EN VENTA DICIEMBRE /2022,,,
DESCRIPCION,VALOR UNITARIO,CANT.,VALOR EN VENTA ,VALOR EN VENTA ,,,
CORBATAS MURO e=30cm,2500,18,45000,45000,,,
,TOTAL MATERIAL EN VENTA,TOTAL MATERIAL EN VENTA,45000,45000,,,
TOTAL,,,160075,160075,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8","AURA : PLACA CASA 12,8 X 7,8"
MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353,MAESTRO RAMON:3237619353
CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA,CARRERA 16 CALLE 7 ESQUINA
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS D 60X 120,15,143,350,50050,750750,13.5,1930.5
"PARALES3,5 MTS",15,80,130,10400,156000,15.5,1240
CHAPETAS REDONDAS,15,450,20,9000,135000,0.01,4.5
"CERCHA 1,22 MTS",15,8,120,960,14400,13,104
CERCHA DE 3M TS,15,32,12,384,5760,29,928
,,VALOR DIARIO,VALOR DIARIO,71000,PESO TOTAL,PESO TOTAL,4207
,,VALOR TOTAL,VALOR TOTAL,1065000,,,
,,TRANSPORTE,TRANSPORTE,100000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
,,TOTAL,TOTAL,1165000,,,
DEPOSITO  ,,,,800000,,,
,,,,,,,
,,,,,,,
