JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,
MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,MARTA MIRADORES DE LA UIS:3232092702,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,
"TABLERO 70 X 1,40",15,76,160,12160,182400,25,1900,,,
"TABLERO 40 X 1,40",15,10,160,1600,24000,16,160,,,
CERCHA 3 MTS,15,24,120,2880,43200,29,696,,,
"CERCHA 1,5MTS",15,6,120,720,10800,12,72,,,
PARALES 3 MTS,15,71,120,8520,127800,13.5,958.5,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,25880,PESO TOTAL,PESO TOTAL,3786.5,,,
FEBRERO 1 AL 15 ,FEBRERO 1 AL 15 ,TOTAL DIAS,TOTAL DIAS,388200,,,,,,
