EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,
ALQUILER MURO DE CONTENCION  TUA,ALQUILER MURO DE CONTENCION  TUA,ALQUILER MURO DE CONTENCION  TUA,ALQUILER MURO DE CONTENCION  TUA,ALQUILER MURO DE CONTENCION  TUA,ALQUILER MURO DE CONTENCION  TUA,,
ARQ. LEDYN OMAR :3138233953,ARQ. LEDYN OMAR :3138233953,ARQ. LEDYN OMAR :3138233953,ARQ. LEDYN OMAR :3138233953,ARQ. LEDYN OMAR :3138233953,ARQ. LEDYN OMAR :3138233953,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,,
"FORMALETA 60X 1,20",30,80,320,25600,768000,26,2080
CERCHAS 3 MTS,30,14,120,1680,50400,29,406
ALINEADORES 6 MTS,30,12,480,5760,172800,,
TENSORES,30,84,100,8400,252000,0.2,16.8
PARALES 6 MTS,30,28,300,8400,252000,30,840
CHAPETAS,30,800,18,14400,432000,0.1,80
30 DIAS,30 DIAS,SUB-TOTAL DIARIOCON IVA,SUB-TOTAL DIARIOCON IVA,76445.59999999999,,,3422.8
30 DIAS,30 DIAS,30 DIAS IVA INCLUIDO,30 DIAS IVA INCLUIDO,2293368,,,
30 DIAS,30 DIAS,LLEVADA YTRAIDA,LLEVADA YTRAIDA,200000,,,
30 DIAS,30 DIAS, GRANTOTAL, GRANTOTAL,2493368,,,
