KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,KARIME OBRA PORTASCHUELO,,
CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,,
MOVIMIENTO MAYO 21 AL 31,MOVIMIENTO MAYO 21 AL 31,MOVIMIENTO MAYO 21 AL 31,MOVIMIENTO MAYO 21 AL 31,MOVIMIENTO MAYO 21 AL 31,MOVIMIENTO MAYO 21 AL 31,,
MATERIAL,SALDO,13686,13353,13356,SALDO,,
,2026-05-20,2026-05-22,2026-05-28,2026-05-28,2026-05-31,,
"FORMALETA DE 60*1,20",8,,-8,,,,
"FORMALETA DE 40*1,20",0,15,-15,,,,
"FORMALETA DE 30*1,20",3,4,-6,,1,,
"FORMALETA DE 25*1,20",1,,-1,,,,
"FORMALETA DE 20*1,20",0,6,-6,,,,
"ANGULOS DE 1,20",24,,-24,,,,
ANGULOS DE 60,36,,-35,,1,,
ALINEADOR DE 1 MTRO,60,,-31,-28,1,,
TENSORES,57,,-57,,,,
CHAPETAS ,246,,-246,,,,
PARALES DE 3 MTROS,30,,-30,,2,,
PARALES DE 4 MTRS,14,,-12,,2,,
PARALES DE 1 MTRO,10,,-10,,,,
PARALES DE 6 MTROS ,24,,-24,,,,
CAJAS METALICAS,0,,,,,,
HORA,,02:15,07:25,02:10,,,
Transporte,,CWG-768,WFC-486,CWG-768,,,
,,,,,,,
JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,JIMMY JAIMES CARRILLO,,
KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,,
PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,PORTACHUELO,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,,
"FORMALETA DE 60*1,20",7,8,420,3360,23520,,
