CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,
CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,
MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,
MATERIAL,SALDO,13441,13441,13437,,EN OBRA,
MATERIAL,2026-05-30,2026-06-24,2026-06-24,2026-06-24,,2026-06-30,
ALINEADORES DE 6 MTROS,40,-5,,-24,,11,
"FORMALETA DE 60*1,20",110,-2,,-31,,77,COBRAR LA S 2 FORMALETAS DE 60 NO SE RECIBIO PERO SE ANEXA PARA RECORDAR EN INVENTARIO
ALINEADORES DE 3 MTROS,8,-4,,,,4,
"FORAMLETA DE 50*1,20",50,,,-23,,27,
"FORMALETA DE 20*1,20",60,-33,,-13,,14,
"FORMALETA DE 30 1,20",46,-18,-1,-20,,7,COBRAR LA FORMALETA DE 30 NO SE RECIBIO PERO SE ANEXA PARA RECORDAR EN INVENTARIO
"FORMALETA DE 25*1,20",2,,,-2,,,
TENSORES ,120,,,,,120,
CHAPETAS,1500,,,,,1500,
CAJA METALICA,5,,,,,5,
"RINCONERAS 10*10*1,20",2,-1,,,,1,
"ANGULOS DE 1,20",8,,,,,8,
PARALES DE 4 MTROS,80,-52,,,,28,
PARALES DE 1 MTRO,40,,,,,40,
PINES,700,,,,,700,
Hora,,3:30PM,,08:20,,,
TRANSPORTE,,80000,,80000,,160000,
,,,,,,,
EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,
CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,
JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,JUNIO 1 AL30 DE 2026,
