ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293,ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293,ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293,ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293,ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293,ARQUITECTO CESAR AUGUSTO NIÑO: 3012077293
POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA
CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,12655,12662,12664,11477,SALDO 
MATERIAL,2025-04-11,2025-04-15,2025-04-16,2025-04-21,2025-04-30
MARCOS DE ANDAMIOS 1.50ROJOS,20,,,-8,12
CRUCETAS 2.40,20,,,-8,12
TABLONES  DE 3 MTROS,20,,,-6,14
RUEDAS DE ANDAMIOS ,8,,,,8
PARALES DE 8.0A 1.50,,7,10,-17,
PARALES DE 3 MTROS,,,2,-1,1
Hora,09:00,02:50,09:30,10:00,1.3055555555555556
TRANSPORTE,40000,30000,40000,30000,140000
