ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,ELIAS ADARME,,,,,
EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,EL PEDREGAL,,,,,
MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,MOVIMIENTO: SEPTIEMBRE 2026,,,,,
MATERIAL,13994,13632,,,,,SALDO,,,,,
,2026-09-07,2026-09-11,,,,,2026-09-30,,,,,
"FORMALETA DE 60*1,20",14,-14,,,,,,,,,,
"FORMALETA DE 20*1,20",14,-14,,,,,,,,,,
CHAPETAS ,200,-200,,,,,,,,,,
CAJA METALICA,1,-1,,,,,,,,,,
"ANGULOS DE 1,20",12,-12,,,,,,,,,,
ANGULOS DE 60,28,-28,,,,,,,,,,
HORA,10:30,02:00,,,,,,,,,,
Transporte,75000,75000,,,,,150000,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,A
