,,,,,,,,,,,
,,,,,,,,,,,
CDT BBVA 19/12/2025,88137296,,,,,,,,,,
CDT COMULTRASAN20/02/2025,7810240,,,,,,,,,,
CDT COOMULTRASAN  18/07/2025,22764198,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
VENTA ZION  CDT,89642300,,,,,,,,,,
MENOS OPERACIÓN,4857700,,,,,,,,,,
TOTAL ,84784600,,,,,,,,,,
CDT 1,7810240," NOTA ESTA INCLUIDO LOS INTERESES  $ 336,240",,,,,,,,,
CDT 2,22764198, NOTA ESTA INCLUIDO LOS INTERESES  $ 426707,,,,,,,,,
TOTAL ,115359038,SALDO AGOSTO 31,,,,,,,,,
,,,,,,,,,,,
CDT 1,7810240,,,,,,,,,VENTA ZION  CDT,89642300
CDT 2,22764198,,,,,,,,,MENOS OPERACIÓN,4857700
CDT 3,88137296,"NOTA : $ 89642300 MENOS ($4,857,700) MAS INTERESES $ 1722509 + SALDO $1,630,187",,,,,,,,INTERESES SEPT A DIC,1722509
TOTAL ,118711734,,,,,,,,,SALDO PEND JIMMY,1630187
,,,,,,,,,,,88137296
