,,,,,,,,,,
,Propuesta,,Total,Heidy,Jhon,Jimmy,Flor Alba,,,
,Propuesta,,1162300629.43,174345094.4145,174345094.4145,174345094.4145,639265346.1865001,,,
,Propuesta,,1162300629.43,174345094.4145,174345094.4145,174345094.4145,639265346.1865001,,,
,Propuesta,Dinero  Repartido Venta de Zion,1,Heidy,Jhon,Jimmy,Flor Alba,,,
,Propuesta,Dinero  Repartido Venta de Zion,1,0.333333,0.333333,0.333333,0,,,
,Propuesta,Dinero  Repartido Venta de Zion,73343700,24447900,24447900,24447900,0,,,
,Propuesta,,,,,,,,,
,Propuesta,Puerta de Oro - Pagado,1,Heidy,Jhon,Jimmy,Flor Alba,,,
,Propuesta,Puerta de Oro - Pagado,1,0.5,0.5,0,0,,,
,Propuesta,Puerta de Oro - Pagado,50879394,25439697,25439697,,,,,
,Propuesta,,,,,,,,,
,Propuesta,CDTs a Diciembre,1,Heidy,Jhon,Jimmy,Flor Alba,,Arriendo Futuro,Arriendo Futuro
,Propuesta,CDTs a Diciembre,1,0.5,0.5,0,0,,,3473250
,Propuesta,CDTs a Diciembre,124048399,62024199.5,62024199.5,,,,0.0863746132017653,300000.62530303135
,Propuesta,,,,,,,,0.0863746132017653,300000.62530303135
,Propuesta,Bodega,1,Heidy,Jhon,Jimmy,Flor Alba,,0.11922791070321795,414108.3408499517
,Propuesta,Bodega,1,0.0863746132017653,0.0863746132017653,0.11922791070321795,0.7080228634881438,,0.7080228634881438,2459140.4106101952
,Propuesta,Bodega,722820000,62433297.9145,62433297.9145,86180318.4145,511773086.1865001,,,
,Propuesta,,,,,,,,,
,Propuesta,Equioriente,1,Heidy,Jhon,Jimmy,Flor Alba,,,
,Propuesta,Equioriente,1,0,0,0.3,0.7,,,
,Propuesta,Equioriente,182131800,0,0,54639540,127492259.99999999,,,
,Propuesta,,,,,,,,,
,Propuesta,"CAJA, BANCO, CLIENTES - PASIVOS",1,Heidy,Jhon,Jimmy,Flor Alba,,,
,Propuesta,"CAJA, BANCO, CLIENTES - PASIVOS",1,0,0,1,0,,,
,Propuesta,"CAJA, BANCO, CLIENTES - PASIVOS",9077336.43,0,0,9077336,,,,
,,,,,,,,,,
,,,,,,,,,,
,Porcentajes,Puerta de Oro ,1,Heidy,Jhon,Jimmy ,Flor Alba,,,
,Porcentajes,Puerta de Oro ,1,0.5,0.5,-,-,,,
,Porcentajes,,,,,,,,,
,Porcentajes,Bodega,1,Heidy,Jhon,Jimmy,Madre,,,
,Porcentajes,Bodega,1,0.08799803756744416,0.08799803756744416,0.11853215740364129,0.7054717680563627,,,
,Porcentajes,,,,,,,,,
,Porcentajes,Equioriente,1,Heidy,Jhon,Jimmy,Madre,,,
,Porcentajes,Equioriente,1,-,-,0.3,0.7,,,
,,,,,,,,,,
,,,,,,,,,,
,1,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,La utilidades del dinero de los CDT para la compra del apto se va repartir entre los 3 socios en partes iguales a partir del 1 de enero hasta el 31 de marzo del 2026.,,
,2,"Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.","Acordamos que seguiremos recibiendo el arriendo de $340.000 equivalente al 15% de cada socio, hasta pasar lla propiedad del apto, luego el aumento del arriendo de la bodega queda este año en $3,473,250.",,
