VALOR EMPRESA FEBRERO 2026,VALOR EMPRESA FEBRERO 2026,VALOR EMPRESA FEBRERO 2026,VALOR EMPRESA FEBRERO 2026,VALOR EMPRESA FEBRERO 2026
Predio,Avaluo,,,
Bodega,722820000,,,
valor empresa ,177131800,,,
anticipo puerta de oro PUERTA  DE ORO,50879394,,,
CAJA,9204613,,,
BANCO BBA,6165340,,,
CDT BBVA,88137296,DICIEMBRE,,
CDT COOMUNTRASAN 1,8008110,DICIEMBRE,,
CDT COOMULTRASAN 2,23045293.333333332,DICIEMBRE,,
ACTIVOS A REPARTIR,1085391846.3333333,,,
MENOS PASIVOS A 31 /12,6891940,,,
TOTAL VALOR,1078499906.3333333,161774985.95,161774985.95,323549971.9
DIFERENCIA,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
VALOR PUERTA DE ORO,169597980,,,
RECAUDADO,50879394,,,
SALDO,118718586,,,
