EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,
SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,,,,,
FECHA: 31 de Diciembre DE 2025,FECHA: 31 de Diciembre DE 2025,FECHA: 31 de Diciembre DE 2025,FECHA: 31 de Diciembre DE 2025,FECHA: 31 de Diciembre DE 2025,,,,,
,,,,,,,,,
,,,,,,,,,
1,1,ACTIVO,,,,,,,
,,,,,,,,,
11,11,Efectivo y equivalentes al efectivo,,,,,,,
1105,1105,Caja,,9204613,,,,,
110505,110505,Caja general,9204613,,,,,,
,,,,,,,,,
1120,1120,Cuentas de ahorro,,,,,,,
112005,112005,Bancos,,6165540.43,,,,,
11200501,11200501,BBVA,6165540.43,,,,,,
,,,,,,,,,
1220,,CDT,,110901494,,,,,
,,CDT BBVA 19/12/2025,88137296,,,,venci 19/03/2026,TRIMESTRE,
,,CDT COMULTRASAN20/02/2025,7810240,,,,VENC 20/08/2025,TRIMESTRE,336240
,,CDT COOMULTRASAN  18/07/2025,22764198,,,,VENC 18/10/2025,TRIMESTRE,426698
,,,,,,,,,
13,13,Cuentas por cobrar (instrumentos financieros),,,,,,,
1305,1305,Clientes,,5426583,,,INMUEBLE ,91000000,
130505,130505,Nacionales,5426583,,,,DEPREC,-2862704,
,,,,,,,,88137296,
130515,130515,Deudores facturacion sin iva,,30240,,,,,
,,Varios ,30240,,,,,,
,,,,,,,,,
1330,,ANTICIPO PUERTA DE ORO,,50879370,,,,,
,,Puerta de Oro etapa 3,50879370,,,,,,
,,,,,,,,,
1355,1355,Anticipo de impuestos y contribuciones o saldos a favor,,4551523.4,,,,,
135505,135505,Anticipo de impuestos de renta y complementarios,3476000,,,,,,
135518,,Reteica ,50487,,,,,,
135515,135515,Retención en la fuente ,570036.4,,,,,,
13559006,13559006,Autorretencion de renta,455000,,,,,,
,,,,,,,,,
15,15,Propiedades planta y equipo,,222134229,,,,,
1516,1516,Construcciones y edificaciones,,,,,,,
151605,151605,Apto sion ,0,,,,,,
1520,,MAQUINARIA Y EQUIPO ,192065553,,,,,,
152005,152005,Formaleta,,,,,,,
1528,1528,Equipo de computación y comunicación,,,,,,,
152805,152805,Equipo de procesamiento de datos,3718000,,,,,,
1540,1540,Flota y equipo de transporte,0,,,,,,
154008,154008,"Camiones, volquetas y furgones",34596000,,,,,,
1592,1592,Depreciación acumulada,-8245324,,,,,,
,,,,,,,,,
16,16,Intangibles,,2548980,,,,,
1635,1635,Licencias,2548980,,,,,,
,,,,,,,,,
TOTAL ACTIVO ,TOTAL ACTIVO ,TOTAL ACTIVO ,,411842572.83000004,,,,,
,,,,,,,,,
,,,,,,,,,
2365,2365,Retención en la fuente,,150000,,,,,
236525,236525,Retención en la fuente,0,,,,,,
236706,,Autorretencion,150000,,,,,,
,,,,,,,,,
2370,2370,Retenciones y aportes de nómina,,370400,,,,,
237005,237005,Aportes a entidades promotoras de salud EPS,168200,,,,,,
237006,237006,Aportes a administradoras de riesgos profesionales arp,34000,,,,,,
237010,237010,"Aportes al i.c.b.f, sena y cajas compensación",168200,,,,,,
,,,,,,,,,
2380,2380,Acreedores varios,,672700,,,,,
238030,238030,Fondos de cesantías y/o pensiones,672700,,,,,,
,,,,,,,,,
,,,,,,,,,
24,24,"Impuestos, gravámenes y tasas",,2107000,,,,,
2408,2408,Impuesto sobre las ventas por pagar,2107000,,,,,,
2412,,industria y comercio ,,,,,,,
,,,,,,,,,
,,,,,,,,,
26,26,Provisión de pasivos,,,,,,,
2610,2610,Para obligaciones laborales,,3591840,,,,,
261005,261005,Cesantías,3207000,,,,,,
261010,261010,Intereses sobre cesantías,384840,,,,,,
261015,,Vacaciones,0,,,,,,
261020,,Prima ,0,,,,,,
,,,,,,,,,
,,,,,,,,,
TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,,6891940,,,,,
,,,,,,,,,
,,,,,,,,,
3,3,PATRIMONIO,,,,,,,
,,,,,,,,,
31,31,Capital social,,406721928,,,,,
3105,3105,Capital suscrito y pagado,406721928,,,,,,
310505,310505,Capital autorizado suscrito y pagado ,,,,,,,
,,,,,,,,,
,,,,,,,,,
36,36,Resultados del ejercicio,,-6531871,,,,,
361010,361010,Perdida de ejercicio,-6531871,,,,,,
,,,,,,,,,
,,,,,,,,,
37,,UTILIDAD DEL EJERCICIO ANTERIORES ,,4760576,,,,,
370501,,Utilidad de ejercicios anteriores,4760576,,,,,,
,,,,,,,,,
,,,,,,,,,
TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,,404950633,,,,,
,,,,,,,,,
TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,,411842573,,,,,
,,,,,,,,,
,,,,-0.16999995708465576,,,,,
