INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE,INVENTARIO MATERIAL  Y EQUIPOS EQUIORIENTE
2026-02-20,ENTRADA : 13117,SALIDA:13403,MATERIAL,TOTAL MATERIAL,valor unitario,
MATERIAL,CONTEO                         MATERIAL EN BODEGA,MATERIAL ALQUILADO,SUBALQUILADO,TOTAL MATERIAL,valor unitario,VALOR TOTAL
TABLEROS DE MADERA 70 x 140,242,188,,430,40000,17200000
BANDAS DE 40 X 140,20,50,,70,30000,2100000
BANDAS DE 40 X 120,49,,,49,20000,980000
BANDAS DE 40 X 100,52,50,,102,15000,1530000
PARALES DE 1 M,1,4,,5,15000,75000
PARALES 3.00 MTS,123,227,,350,40000,14000000
"PARALES DE 3,50",50,47,,97,50000,4850000
PARALES 4.00 MTS,181,113,,294,60000,17640000
PARALES DE 6 MTS,28,4,,32,90000,2880000
"MARCOS DE ANDAMIOS 1,5",6,54,8,52,40000,2080000
"CRUCETAS DE ANDAMIO 2,40 MTS",19,72,11,80,10000,800000
MARCOS DE ANDAMIO 2*90,8,12,,20,60000,1200000
CERCHA DE 1 MTS,6,7,,13,35000,455000
"CERCHA DE 1,2 MTS",4,5,,9,40000,360000
"CERCHA DE 1,5 MTS",10,11,,21,45000,945000
CERCHA DE 2 MTS,6,27,,33,65000,2145000
CERCHAS  3 MTS,75,44,,119,95000,11305000
CHAPETAS CUADRADAS,231,1500,,1731,1300,2250300
ANGULOS DE 2.40,12,14,,26,25000,650000
ANGULOS DE 120,96,15,,111,12000,1332000
ANGULO DE 60,69,30,,99,6000,594000
TABLERO METALICO 120 X 60,5,360,156,209,100000,20900000
TABLERO METALICO 120 X 55,2,,,2,95000,190000
TABLERO METALICO 120 X 50,3,5,,8,90000,720000
TABLERO METALICO 120 X 45,,18,,18,85000,1530000
TABLERO METALICO 120 X 40,8,50,3,55,80000,4400000
TABLERO METALICO 120 X 35,30,,,30,75000,2250000
TABLERO METALICO 120 X 30,,34,,34,70000,2380000
"TABLERO METALICO 120 X 27,5",37,,,37,67500,2497500
TABLERO METALICO 120 X 25,40,12,,52,65000,3380000
TABLERO METALICO 120 X 20,1,31,5,27,60000,1620000
TABLERO METALICO 120 X 15,23,45,,68,55000,3740000
TABLERO METALICO 120 X 12,12,,,12,52500,630000
TABLERO METALICO 120 X 10,3,5,,8,50000,400000
TABLERO METALICO 120 X 5,13,21,,34,25000,850000
TABLERO METALICO  30 X 60,3,5,,8,30000,240000
TABLONES 3 MTS,4,30,10,24,20000,480000
TABLONES CORTOS,4,6,,10,15000,150000
RINCONERAS 10 X 10 X 60,6,,,6,10000,60000
RINCONERAS 15 X 15 X 120,9,,,9,30000,270000
RINCONERAS 10X 10 X 120,40,,,40,20000,800000
ALINEADORES DE 6.00 MTS,,4,,4,90000,360000
"ALINEADORES DE 2,50 MTS",7,,,7,40000,280000
ALINEADORES DE 3 MTS,2,3,,5,45000,225000
ALINEADORES DE 3.70,1,,,1,55000,55000
ALINEADORES DE 2 MTROS,60,,,60,40000,2400000
RUEDAS DE ANDAMIO,8,,,8,25000,200000
ESCALERA DE TIJERA EN ALUMINIO 3 MTS,1,,,1,500000,500000
PASAMANOS 3 MTS,,2,,2,5000,10000
PASAMANOS 6 MTS,,4,,4,10000,40000
MEZCLADORA DE CEMENTO 1 1/2 DIESEL,1,,,1,3000000,3000000
POLEAS COLGANTES ,4,2,,6,1750000,10500000
POLEAS MANUAL C/ LAZO,1,,,1,70000,70000
ALINEADORES DE1 MTROS,41,,,41,20000,820000
ALINEADORES DE 1.5  MTROS,3,,,3,25000,75000
TENSORES,123,,,123,6000,738000
VALOR TOTAL MATERIAL,,,,,,152131800
CAMION JAC,,,,,,30000000
AVALUO TOTAL,,,,,TOTAL,182131800
