EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,INFORMES AÑO 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2025-06-01,2025-06-01,2025-06-01,2025-06-01,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-02-01,2025-02-01,2025-02-01,2025-03-01,2025-03-01,2025-03-01,2025-04-01,2025-04-01,2025-04-01,2025-05-01,2025-05-01,2025-05-01,,,,,2025-07-01,2025-07-01,2025-07-01,2025-07-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-09-01,2025-09-01,2025-09-01,2025-09-01,2025-10-01,2025-10-01,2025-10-01,2025-10-01,2025-11-01,2025-11-01,2025-11-01,2025-11-01,2025-12-01,2025-12-01,2025-12-01,2025-12-01
Cuenta,Cuenta,,,Saldos a 31/01/23,Saldos a 31/01/23,4,4,Saldos a 28/02/2023,Mov. 01/03/2023 a 31/03/2023,Mov. 01/03/2023 a 31/03/2023,Saldos a 31/03/2023,Mov. 01/04/2023 a 30/04/2023,Mov. 01/04/2023 a 30/04/2023,Saldos a 30/04/2023,Mov. 01/05/2023 a 31/05/2023,Mov. 01/05/2023 a 31/05/2023,Saldos a 31/05/2023,Mov. 01/06/2023 a 30/06/202,Mov. 01/06/2023 a 30/06/202,Saldos a 30/06/2023,Saldos a 30/06/2023,Mov. 01/07/2023 a 31/07/2023,Mov. 01/07/2023 a 31/07/2023,Saldos a 31/07/2022,Saldos a 31/07/2022,Mov. 01/08/2023 a 31/08/2023,Mov. 01/08/2023 a 31/08/2023,Saldos a 30/08/2022,Saldos a 30/08/2022,Mov. 01/09/2022 a 30/09/2022,Mov. 01/09/2022 a 30/09/2022,Saldos a 30/09/2022,Saldos a 30/09/2022,Mov. 01/10/2022 a 31/10/2022,Mov. 01/10/2022 a 31/10/2022,Saldos a 31/10/2022,Saldos a 31/10/2022,Mov. 01/11/2022 a 30/11/2022,Mov. 01/11/2022 a 30/11/2022,Saldos a 30/11/2022,Saldos a 30/11/2022,Mov. 01/12/2022 a 31/12/2022,Mov. 01/12/2022 a 31/12/2022,Saldos a 30/12/2022,Saldos a 30/12/2022
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
4,INGRESOS,0,3650160,3650160,,,8194444,11844604,,15949913,27794517,,8100964,35895481,,18412486,54307967,1071520,13297291,66533738,,,14522346,81056084,,,19706466,100762550,,,12601267,113363817,,,13432176,126795993,,,11210209,138006202,,7800,24004695,162003097,
41,Operacionales,0,496100,496100,,,24370,520470,,100949,621419,0,55000,676419,,4552322,5228741,0,5319930,10548671,,0,5508975,16057646,,,1143000,17200646,,,1275896,14228132,,,914530,15142662,,,1555310,16697972,,7800,14222015,30912187,
4155,"Actividades inmobiliarias, empresariales y de alquiler",0,496100,496100,,0,24370,520470,0,100949,621419,0,55000,676419,0,4552322,5228741,0,,5228741,,0,5508975,10737716,,0,1143000,11880716,,0,1275896,13156612,,0,914530,14071142,,0,1555310,15626452,,0,14222015,34672297,
415520,Alquiler IVA,0,,,,0,24370,24370,0,75949,100319,0,55000,155319,0,4027322,4182641,0,4522430,8705071,,0,5168975,13874046,,0,973000,14847046,,0,1235896,16082942,,0,779530,16862472,,0,1335310,18197782,,0,13202015,31399797,
415525,VENTA EQUIPO,,0,,,0,0,,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415515,Transporte,0,,,,0,0,,0,25000,25000,0,0,25000,0,525000,550000,0,797500,1347500,,0,340000,1687500,,0,170000,1857500,,0,40000,1897500,,0,135000,2032500,,0,220000,2252500,,0,1020000,3272500,
415595,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4175,Devoluciones en ventas (db),,,,,,,,0,,,0,0,,,,,1071520,,1071520,,,,1071520,,,,1071520,,,,1071520,,,,1071520,,0,,1071520,,7800,,1079320,
417501,Devoluciones en ventas (db),,,,,,,,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,7800,,,
42,No operacionales,0,3154060,3154060,,0,8170074,11324134,0,15848964,27173098,0,8045964,35219062,0,13860164,49079226,0,7977361,57056587,,0,9013371,66069958,,,18563466,84633424,,,11325371,95958795,,,12517646,108476441,,,9654899,118131340,,,9782680,127914020,
4210,Financieros,0,110,110,,0,54,164,0,4,168,0,34,202,0,524,726,0,1101,1827,,0,1633,3460,,,,3460,,,211,3671,,,426712,430383,,,999,431382,,,1722552,2153934,
421005,Intereses,0,110,110,,0,54,164,0,4,168,0,34,202,0,524,726,0,34,760,,0,36,796,,0,336240,337036,,0,211,337247,,0,426712,763959,,0,999,764958,,0,1722552,2487510,
421095,intereses prestamos socios,,,,,,0,,,0,,0,0,,0,0,,0,1067,1067,,0,1597,2664,,0,0,2664,,0,0,2664,,0,,2664,,0,0,2664,,0,0,2664,
421040,Descuentos comerciales condicionados,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
4220,ARRENDAMIENTOS APARTAMENTOS,0,,,,0,,,0,,,0,,,0,,,0,,,,0,955998,955998,,0,,955998,,0,11325160,12281158,,0,,12281158,,0,,12281158,,0,,12281158,
422010,Apartamentos Arrendados,0,,,,0,,,0,,,0,,,0,,,0,,,,0,955998,955998,,0,,955998,,0,11325160,12281158,,0,,12281158,,0,,12281158,,0,,12281158,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Servicios,0,3153950,3153950,,0,8170020,11323970,0,15848960,27172930,0,8045930,35218860,0,13859640,49078500,0,7976260,57054760,,0,8055740,65110500,,0,18562760,83673260,,0,,83673260,,0,12090934,95764194,,0,9653900,105418094,,0,8060128,113478222,
423510,VENTAS SIN IVA,0,3153950,3153950,,0,8170020,11323970,0,15848960,27172930,,8045930,35218860,,13859640,49078500,0,7976260,57054760,,0,8055740,65110500,,0,18562760,83673260,,0,,83673260,,0,12090934,95764194,,0,9653900,105418094,,0,8060128,113478222,
4295,DIVERSOS,0,,,,0,,,0,,,,,,,,,,,,,,,,,0,706,706,,0,,706,,0,,706,,0,,706,,0,,706,
429581,Ajuste al peso ,0,,,,0,,,0,,,,,,,,,,,,,,,,,0,706,706,,0,,706,,0,,706,,0,,706,,0,,706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GASTOS,10157985,0,10157985,,12636419,0,22794404,15699505,0,38493909,13845188,0,52339097,16159541,0,68498638,13183791,0,81682429,,13164418,0,94846847,,12998509,0,107845356,,15385036,0,123230392,,15449005,0,138679397,,16781585,0,155460982,,13073986,0,168534968,
51,Operacionales de administración,10021333,0,10021333,,12566177,0,22587510,15435906,0,38023416,13681519,,51704935,16015883,,67720818,13043546,0,80764364,,12988921,0,93753285,,12780064,0,106533349,,15214228,0,121747577,,15297669,0,137045246,,16601670,0,153646916,,12860497,0,166507413,
5105,Gastos de personal,2236775,0,2236775,,7001974,0,9238749,7235201,0,16473950,6661974,0,23135924,5433676,0,28569600,5483676,0,34053276,,6955221,0,41008497,,6656666,0,47665163,,6540919,0,54206082,,6766017,0,60972099,,6389516,0,67361615,,4551236,0,71912851,
510506,Sueldos,1603500,0,1603500,,4637000,,6240500,4637000,,10877500,4637000,,15514500,3918750,,19433250,3918750,,23352000,,4630500,,27982500,,4630500,,32613000,,4583050,,37196050,,4535600,,41731650,,4630500,,46362150,,3241350,,49603500,
510515,Horas extras ,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
510527,Auxilio de transporte,,0,,,200000,,200000,200000,,400000,200000,,600000,100000,,700000,100000,,800000,,200000,,1000000,,200000,,1200000,,193334,,1393334,,186667,,1580001,,106666,,1686667,,140000,,1826667,
510530,Cesantías,133572,0,133572,,402922,,536494,402922,,939416,402922,,1342338,334762,,1677100,334762,,2011862,,402381,,2414243,,402381,,2816624,,397873,,3214497,,393365,,3607862,,393365,,4001227,,281666,,4282893,
510533,Intereses sobre cesantías,16029,0,16029,,4029,,20058,4029,,24087,4029,,28116,3347,,31463,3347,,34810,,4023,,38833,,4023,,42856,,3978,,46834,,3933,,50767,,3933,,54700,,33800,,88500,
510536,Prima de servicios,133572,0,133572,,402922,,536494,402922,,939416,402922,,1342338,334762,,1677100,334762,,2011862,,402381,,2414243,,402381,,2816624,,397873,,3214497,,393365,,3607862,,393365,,4001227,,281666,,4282893,
510539,Vacaciones,66866,0,66866,,193363,,260229,193363,,453592,193363,,646955,163412,,810367,163412,,973779,,193092,,1166871,,193092,,1359963,,191113,,1551076,,189135,,1740211,,189135,,1929346,,135164,,2064510,
510548,Bonificaciones,,0,,,,0,,,,,,,,,,,,,,,160000,,160000,,150000,,310000,,150000,,460000,,300000,,760000,,,,760000,,,,760000,
510551,Dotación y elementos seguridad  trabajadores,10000,0,10000,,355000,0,365000,588227,,953227,15000,,968227,,,968227,50000,,1018227,,352000,,1370227,,63445,,1433672,,15000,,1448672,,140000,,1588672,,,,1588672,,10000,,1598672,
510568,Aportes a administradoras de riesgos profesionales arp,16676,0,16676,,40818,0,57494,40818,,98312,40818,,139130,37053,,176183,,,176183,,40784,,216967,,40784,,257751,,40536,,298287,,40288,,338575,,40288,,378863,,28548,,407411,
510569,Aportes a entidades promotoras de salud eps,,0,,,,0,,,0,,,,,,,,37053,0,37053,,,0,37053,,,0,37053,,,0,37053,,,0,37053,,,0,37053,,,0,37053,
510570,Aportes a fondos de pensiones y/o cesantías,192420,0,192420,,580440,0,772860,580440,,1353300,580440,,1933740,384840,,2318580,384840,,2703420,,384840,,3088260,,384840,,3473100,,384840,,3857940,,384840,,4242780,,384840,,4627620,,269388,,4897008,
510572,Aportes cajas de compensación familiar,64140,0,64140,,185480,0,249620,185480,,435100,185480,,620580,156750,,777330,156750,,934080,,185220,,1119300,,185220,,1304520,,183322,,1487842,,181424,,1669266,,181424,,1850690,,129654,,1980344,
510584,Drogas y medicamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17400,,17400,,66000,,83400,,,,83400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,Honorarios,300000,0,300000,,300000,0,600000,300000,0,900000,300000,0,1200000,300000,0,1500000,300000,0,1800000,,300000,0,2100000,,300000,0,2400000,,300000,0,2700000,,300000,0,3000000,,300000,0,3300000,,300000,0,3600000,
511025,Asesoria Juridica ,,0,,,0,0,,0,0,,0,0,,0,0,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
