Razones Financieras,Razones Financieras,,,
Liquidez,,,,
,,,,
Liquidez,Activos Circulantes,619237075.95,83.67618144680526,La empresa cuenta con el 84% de respaldo de los activos
,Pasivos Circulantes,7400398.359999999,,
,,,,
Prueba Acida,Activos Circulantes - Inventarios,470054541.95000005,63.517464747668,"con el activo que tenemos hay el 62,59% para pagar el pasivo"
,Pasivos Circulantes,7400398.359999999,,
,,,,
Administración de Activos,,,,
,,,,
Rotación Activos Fijos,Ventas,136687592,0.3442568067537077,"la empresa roto su activo el 0,34"
,Activos Fijos Netos,397051240,,
,,,,
Rotación Activos Totales,Ventas,136687592,0.220735478072435,"la empresa roto su activo totales el 0,21"
,Activos Totales,619237075.95,,
,,,,
Administración de Deudas,,,,
,,,,
Razón de Endeudamiento,Deudas Totales,7400398.359999999,0.011950832156887099,"la empresa de los activos debe el 0,01"
,Activos totales,619237075.95,,
,,,,
Rentabilidad,,,,
,,,,
Margen de utilidad,Utilidad Neta,9534688,7.310659156425224,"el margen de utilidad es del 11,7%"
,Ventas,130421728,,
,,,,
Rendimiento sobre los activos totales (RAT) ,Utilidad Neta,9534688,1.5397475975372432,"la empresa puede utilizarr el 2,57% de sus activos para generar ventas"
,Activos totales,619237075.95,,
