Razones Financieras,Razones Financieras,,,
Liquidez,,,,
,,,,
Liquidez,Activos Circulantes,576711378,96.11499072617801,"La empresa cuenta con el 96,11% de respaldo de los activos"
,Pasivos Circulantes,6000223,,
,,,,
Prueba Acida,Activos Circulantes - Inventarios,410225482,68.36837264215013,"con el activo que tenemos hay el 68,36% para pagar el pasivo"
,Pasivos Circulantes,6000223,,
,,,,
Administración de Activos,,,,
,,,,
Rotación Activos Fijos,Ventas,136687592,0.385639489407481,"la empresa roto su activo el 0,38"
,Activos Fijos Netos,354443971,,
,,,,
Rotación Activos Totales,Ventas,136687592,0.23701212983524664,"la empresa roto su activo totales el 0,23"
,Activos Totales,576711378,,
,,,,
Administración de Deudas,,,,
,,,,
Razón de Endeudamiento,Deudas Totales,6000223,0.01040420430200009,"la empresa de los activos debe el 0,010"
,Activos totales,576711378,,
