Razones Financieras,Razones Financieras,,,
Liquidez,,,,
,,,,
Liquidez,Activos Circulantes,623059871.745,99.0202343812577,La empresa cuenta con el 99% de respaldo de los activos
,Pasivos Circulantes,6292248,,
,,,,
Prueba Acida,Activos Circulantes - Inventarios,459824419.745,73.07792377938695,"con el activo que tenemos hay el 73,07% para pagar el pasivo"
,Pasivos Circulantes,6292248,,
,,,,
Administración de Activos,,,,
,,,,
Rotación Activos Fijos,Ventas,136687592,0.36613024645071135,"la empresa roto su activo el 0,36"
,Activos Fijos Netos,373330511,,
,,,,
Rotación Activos Totales,Ventas,136687592,0.21938115131244112,"la empresa roto su activo totales el 0,21"
,Activos Totales,623059871.745,,
,,,,
Administración de Deudas,,,,
,,,,
Razón de Endeudamiento,Deudas Totales,6292248,0.010098946000770903,"la empresa de los activos debe el 0,010"
,Activos totales,623059871.745,,
,,,,
Rentabilidad,,,,
,,,,
Margen de utilidad,Utilidad Neta,14465633.829999998,9.198789174433685,"el margen de utilidad es del 9,19%"
,Ventas,157255847,,
,,,,
Rendimiento sobre los activos totales (RAT) ,Utilidad Neta,14465633.829999998,2.3217084723312684,"la empresa puede utilizarr el 2,32% de sus activos para generar ventas"
,Activos totales,623059871.745,,
